[18/4/2022 21:37:0] /goto nandinho rp
[18/4/2022 21:37:11] /i 8985
[18/4/2022 21:37:35] /i 8985
[18/4/2022 21:37:55] /i 2469
[18/4/2022 21:38:34] /goto lord kycas
[18/4/2022 21:38:56] /t
[18/4/2022 21:39:21] /goto Zellians
[18/4/2022 21:40:0] /goto Ocrime Eh Gostoso
[18/4/2022 21:40:14] /i 2160
[18/4/2022 21:43:30] /i 3423
[18/4/2022 21:43:36] /r
[18/4/2022 21:43:40] /r
[19/4/2022 11:30:45] /i great shield
[19/4/2022 11:31:4] /i dragon scale armor
[19/4/2022 11:31:16] /i dragon scale mail
[19/4/2022 11:31:41] /i backpack of holding
[19/4/2022 11:32:9] /i stamina doll
[19/4/2022 11:32:30] /goto xivas
[19/4/2022 11:33:5] /goto xivas
[19/4/2022 11:33:15] /i sudden death rune
[19/4/2022 11:33:40] /goto lord kycas
[19/4/2022 11:34:3] /m dragon lord
[19/4/2022 11:34:4] /m dragon lord
[19/4/2022 11:34:4] /m dragon lord
[19/4/2022 11:34:5] /m dragon lord
[19/4/2022 11:34:6] /m dragon lord
[19/4/2022 11:34:6] /m dragon lord
[19/4/2022 11:34:7] /m dragon lord
[19/4/2022 11:34:7] /m dragon lord
[19/4/2022 11:34:8] /m dragon lord
[19/4/2022 11:34:9] /m dragon lord
[19/4/2022 11:34:13] /a 3
[19/4/2022 11:34:25] /m dragon lord
[19/4/2022 11:34:25] /m dragon lord
[19/4/2022 11:34:26] /m dragon lord
[19/4/2022 11:34:38] /m dragon lord
[19/4/2022 11:34:38] /m dragon lord
[19/4/2022 11:34:38] /m dragon lord
[19/4/2022 11:34:42] /m dragon lord
[19/4/2022 11:34:43] /m dragon lord
[19/4/2022 11:34:43] /m dragon lord
[19/4/2022 11:34:50] /m dragon lord
[19/4/2022 11:34:50] /m dragon lord
[19/4/2022 11:34:50] /m dragon lord
[19/4/2022 11:35:30] /t
[19/4/2022 11:35:46] /t
[19/4/2022 17:53:42] /i 8906
[19/4/2022 17:53:59] /i 8907
[19/4/2022 17:54:8] /i 8908
[19/4/2022 17:54:14] /i 8909
[19/4/2022 17:55:53] /i 2184
[19/4/2022 17:57:14] /i 7720
[19/4/2022 17:57:42] /i 5958
[19/4/2022 17:59:19] /i 2036
[19/4/2022 17:59:26] /i 2036
[19/4/2022 18:30:56] /i 8909
[19/4/2022 18:31:3] /i 8907
[19/4/2022 18:31:18] /i 8906
[19/4/2022 18:31:21] /i 8905
[19/4/2022 18:31:26] /i 8904
[19/4/2022 18:31:42] /i 8908
[19/4/2022 19:3:5] /i 2501
[19/4/2022 19:4:4] /i 8866
[19/4/2022 19:4:7] /i 8867
[19/4/2022 19:5:15] /i 2465
[19/4/2022 19:5:29] /i 2495
[19/4/2022 19:23:23] /i 8866
[19/4/2022 19:42:7] /goto Lord Kycas
[19/4/2022 19:42:29] /goto xivas
[19/4/2022 19:43:27] /t
[19/4/2022 19:45:10] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:11] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:12] /a
[19/4/2022 19:45:13] /a
[19/4/2022 19:45:20] /a
[19/4/2022 19:45:20] /a
[19/4/2022 19:45:20] /a
[19/4/2022 19:45:26] /a
[19/4/2022 19:45:26] /a
[19/4/2022 19:45:32] /a
[19/4/2022 19:45:32] /a
[19/4/2022 19:45:32] /a
[19/4/2022 19:45:32] /a
[19/4/2022 19:45:33] /a
[19/4/2022 19:45:33] /a
[19/4/2022 19:45:33] /a
[19/4/2022 19:45:33] /a
[19/4/2022 19:45:33] /a
[19/4/2022 19:45:34] /a
[19/4/2022 19:45:34] /a
[19/4/2022 19:45:35] /a
[19/4/2022 19:45:35] /a
[19/4/2022 19:45:38] /a
[19/4/2022 19:45:38] /a
[19/4/2022 19:46:4] /goto xivas
[19/4/2022 19:46:12] /goto savix edition
[19/4/2022 19:46:33] /ghost
[19/4/2022 19:46:39] /ghost
